HAT_ID,DURAK_ID,DURAK_SIRASI,ISTIKAMET,DURAK_NO,DURAK_ADI,KOORDINAT_X,KOORDINAT_Y
100,T34a,1,,T34a,Fen Edebiyat,38.026925,32.5080083
100,T2a,5,ALAADDİN,T2a,Kayalar Camii,38.0137833,32.5171666
100,T3a,6,ALAADDİN,T3a,Bosna Hersek,38.0098,32.5185333
100,T4a,7,ALAADDİN,T4a,Buzlukhan Deresi,38.0028917,32.519625
100,T5a,8,ALAADDİN,T5a,Fırat,37.9955833,32.5186417
100,T6a,9,ALAADDİN,T6a,Piri Reis,37.9895,32.5177833
100,T7a,10,ALAADDİN,T7a,Sancak,37.9821667,32.5168166
100,T8a,11,ALAADDİN,T8a,Japon Parkı,37.9768583,32.5161417
100,T9a,12,ALAADDİN,T9a,Yazır,37.9718833,32.51545
100,T10a,13,ALAADDİN,T10a,Mta,37.9653833,32.5146333
100,T11a,14,ALAADDİN,T11a,Elmalı Hamdi,37.9593083,32.513825
100,T12a,15,ALAADDİN,T12a,Medaş,37.9539,32.513075
100,T13a,16,ALAADDİN,T13a,Otogar,37.94899,32.51264
100,T15a,17,ALAADDİN,T15a,Erenkaya,37.9439667,32.5119167
100,T16a,18,ALAADDİN,T16a,Binkonutlar,37.9405667,32.5114167
100,T17a,19,ALAADDİN,T17a,Eyüp Sultan,37.9359417,32.5107083
100,T18a,20,ALAADDİN,T18a,1. Organize,37.9287083,32.50905
100,T19a,21,ALAADDİN,T19a,Teknik Lise,37.9245584,32.5078416
100,T20a,22,ALAADDİN,T20a,Sakarya,37.9162334,32.505875
100,T21a,23,ALAADDİN,T21a,Şehitler Camii,37.9118916,32.5009666
100,T22a,24,ALAADDİN,T22a,Aydınlık,37.90594,32.49556
100,T24a,25,ALAADDİN,T24a,Sanayi,37.8997834,32.4897833
100,T25a,26,ALAADDİN,T25a,Kunduracılar,37.893725,32.4974917
100,T26a,27,ALAADDİN,T26a,Kule,37.8882333,32.4951333
100,T27a,28,ALAADDİN,T27a,Nalçacı,37.882075,32.489675
100,T28a,29,ALAADDİN,T28a,Belediye,37.876675,32.4884584
100,T29a,30,ALAADDİN,T29a,Kültürpark,37.874975,32.491175
100,T30a,31,ALAADDİN,T30a,Zafer,37.8721,32.4902667
100,T31d,32,KAMPÜS,T31d,Alaaddin,37.871873,32.493851
100,T29d,33,KAMPÜS,T29d,Kültürpark,37.8751583,32.4911583
100,T28d,34,KAMPÜS,T28d,Belediye,37.8767,32.48845
100,T27d,35,KAMPÜS,T27d,Nalçacı,37.8814,32.4893167
100,T26d,36,KAMPÜS,T26d,Kule,37.8875583,32.4948083
100,T25d,37,KAMPÜS,T25d,Kunduracılar,37.893125,32.497975
100,T24d,38,KAMPÜS,T24d,Sanayi,37.8997333,32.49005
100,T22d,39,KAMPÜS,T22d,Aydınlık,37.90591,32.49556
100,T21d,40,KAMPÜS,T21d,Şehitler Camii,37.9118083,32.5008917
100,T20d,41,KAMPÜS,T20d,Sakarya,37.9165,32.5060334
100,T19d,42,KAMPÜS,T19d,Teknik Lise,37.9250667,32.5080333
100,T18d,43,KAMPÜS,T18d,1. Organize,37.929175,32.5092416
100,T17d,44,KAMPÜS,T17d,Eyüp Sultan,37.93635,32.5108667
100,T16d,45,KAMPÜS,T16d,Binkonutlar,37.941,32.5115666
100,T15d,46,KAMPÜS,T15d,Erenkaya,37.9444583,32.5120667
100,T13d,47,KAMPÜS,T13d,Otogar,37.94895,32.51292
100,T12d,48,KAMPÜS,T12d,Medaş,37.9538666,32.5131334
100,T11d,49,KAMPÜS,T11d,Elmalı Hamdi,37.9591167,32.51385
100,T10d,50,KAMPÜS,T10d,Mta,37.9652917,32.514675
100,T9d,51,KAMPÜS,T9d,Yazır,37.9717833,32.5155166
100,T8d,52,KAMPÜS,T8d,Japon Parkı,37.9767666,32.5162
100,T7d,53,KAMPÜS,T7d,Sancak,37.9820667,32.51685
100,T6d,54,KAMPÜS,T6d,Piri Reis,37.9893917,32.517825
100,T5d,55,KAMPÜS,T5d,Fırat,37.9954834,32.5186667
100,T4d,56,KAMPÜS,T4d,Buzlukhan Deresi,38.0028333,32.51965
100,T3d,57,KAMPÜS,T3d,Bosna Hersek,38.0098667,32.5185833
100,T2d,58,KAMPÜS,T2d,Kayalar Camii,38.0137333,32.5173083
100,T1d,59,KAMPÜS,T1d,Kampüs Giriş,38.018708,32.516018
100,T33d,61,KAMPÜS,T33d,Mühendislik Fakültesi,38.0276083,32.5111417
102,T42d,1,ALAADDİN,T42d,Adliye,37.86173,32.54304
102,T41d,2,ALAADDİN,T41d,Karşehir Caddesi,37.86885,32.54188
102,T40d,3,ALAADDİN,T40d,Spor Ve Kongre Merkezi,37.86892,32.53649
102,T39d,4,ALAADDİN,T39d,Fetih Caddesi,37.86999,32.52685
102,T38d,5,ALAADDİN,T38d,Mevlana Kültür Merkezi,37.87056,32.51612
102,T37d,6,ALAADDİN,T37d,Mevlana,37.8706,32.50667
102,T36d,7,ALAADDİN,T36d,Hükümet Meydanı,37.87202,32.49804
102,T30a,8,ALAADDİN,T30a,Zafer,37.8721,32.4902667
102,T31d,9,ALAADDİN,T31d,Alaaddin,37.871873,32.493851
102,T36a,10,ADLİYE,T36a,Hükümet Meydanı,37.87196,32.49799
102,T37a,11,ADLİYE,T37a,Mevlana,37.8705,32.50673
102,T38a,12,ADLİYE,T38a,Mevlana Kültür Merkezi,37.87047,32.51392
102,T39a,13,ADLİYE,T39a,Fetih Caddesi,37.87007,32.52505
102,T40a,14,ADLİYE,T40a,Spor Ve Kongre Merkezi,37.86887,32.53511
102,T41a,15,ADLİYE,T41a,Karşehir Caddesi,37.86878,32.54188
102,T42a,16,ADLİYE,T42a,Adliye,37.86172,32.54295
100,t33a,2,,,,,
100,t32a,3,,,,,
100,t1a,4,ALLAADDİN,,,,
100,t32d,60,KAMPÜS,,,,
